first_name,second_name,year,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Krisztián,Hegyi,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,GK
Kaelan,Casey,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF
Craig,Dawson,2022-2023,1,1,68,1819,24,35.4,391.8,139,6,339,56.8,6,0,4,0.9,48,DEF
Raúl,Jiménez,2022-2023,0,2,26,737,12,115.7,74.6,269,0,63,46,2,0,0,0.3,66,FWD
Jonathan,Castro Otto,2022-2023,1,0,45,1257,21,118.2,233.2,83,0,219,43.7,5,1,3,0.3,43,DEF
José,Malheiro de Sá,2022-2023,0,0,139,2970,44,0,807.2,0,16,636,80.9,10,0,2,5.6,50,GK
Rúben,da Silva Neves,2022-2023,6,1,105,2618,38,387.5,722.4,336,16,508,144.5,8,0,11,1.6,52,MID
Hwang,Hee-chan,2022-2023,2,2,44,866,11,131,149.8,190,0,122,47.1,2,0,1,0.2,57,MID
Nélson,Cabral Semedo,2022-2023,0,1,69,2228,31,210.7,410,68,5,363,68.4,7,1,9,0.8,50,DEF
Daniel,Castelo Podence,2022-2023,6,1,87,1617,28,483,368.2,548,10,238,139.8,5,0,5,0.7,52,MID
Max,Kilman,2022-2023,0,1,102,2970,44,54.1,691,94,11,556,84.2,10,0,3,3.4,43,DEF
Luke,Cundle,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,44,MID
Pedro,Lomba Neto,2022-2023,0,2,31,752,8,237,82,189,0,108,50.7,4,0,1,1.6,49,MID
Rayan,Aït-Nouri,2022-2023,1,0,41,1022,16,130.5,195,156,0,190,48.3,4,0,4,0.8,41,DEF
Fabio,Silva,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,FWD
Toti António,Gomes,2022-2023,0,0,24,670,9,51.4,147.8,36,1,137,23.5,3,0,5,2.4,38,DEF
Francisco Jorge,Tomás Oliveira,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,MID
Adama,Traoré Diarra,2022-2023,2,3,57,1272,24,347.7,240.8,231,0,204,81.9,1,0,0,0.3,54,MID
Matija,Šarkić,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,39,GK
Yerson,Mosquera Valdelamar,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,39,DEF
João Filipe Iria,Santos Moutinho,2022-2023,0,2,55,1772,28,537.7,309.8,142,0,295,99.2,6,0,3,0.3,46,MID
Nathan,Collins,2022-2023,0,0,46,1579,29,37.4,377,29,6,294,44.6,4,1,2,0.5,43,DEF
Jackson,Smith,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,39,GK
Hugo,Bueno López,2022-2023,0,1,41,1144,19,227.6,207.6,74,3,218,51.2,3,0,1,3.1,38,DEF
Joseph,Hodge,2022-2023,0,0,4,167,5,16.2,14.4,26,0,15,5.7,0,0,1,0,43,MID
Connor,Ronan,2022-2023,0,0,1,1,0,0.4,0.6,0,0,3,0.1,0,0,0,0.1,44,MID
Chem,Campbell,2022-2023,0,0,5,68,2,3,5.6,16,0,9,2.4,0,0,0,0.3,44,MID
Gonçalo Manuel,Ganchinho Guedes,2022-2023,1,1,29,703,12,139.6,89.4,223,1,85,45.1,2,0,1,0.2,58,MID
Matheus Luiz,Nunes,2022-2023,1,1,72,2132,26,369.6,322,270,5,297,96.2,10,1,1,0.2,48,MID
Sasa,Kalajdzic,2022-2023,0,0,1,45,0,0,0,9,0,-1,0.7,0,0,0,0,53,FWD
Diego,Da Silva Costa,2022-2023,1,0,29,1011,11,119.3,87.8,464,3,36,66.1,5,1,3,0.3,53,FWD
Boubacar,Traoré,2022-2023,0,1,12,380,7,16.6,48,7,0,38,7.2,0,0,2,0.1,43,MID
Nathan,Fraser,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,45,FWD
Harvey,Griffiths,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID
Dexter,Lembikisa,2022-2023,0,0,1,22,1,0.8,1.4,0,0,3,0.2,0,0,0,0,40,DEF
Matheus,Santos Carneiro Da Cunha,2022-2023,2,0,34,832,10,79.2,121.8,207,6,94,40.4,4,0,1,0.2,53,FWD
Mario,Lemina,2022-2023,0,1,25,937,15,54.7,160.4,34,0,139,24.9,4,1,2,0,45,MID
Pablo,Sarabia,2022-2023,1,0,24,695,9,178,89.2,148,3,54,41.1,2,0,3,0.1,51,MID
Daniel,Bentley,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK
João Victor,Gomes da Silva,2022-2023,1,0,16,430,8,58.9,119.4,29,2,63,20.6,2,0,5,0,45,MID
